artist,bio,Image URL,key
Rels B,"Daniel Heredia Vidal (born 18 October 1993), known professionally as Rels B, is a Spanish rapper, songwriter and record producer. He is considered one of the great rising stars of the Spanish urbano music.
His breakthrough single ""A mí"" received a significant popularity in Spain. On streaming platforms the song became his most listened track. During his career, Rels B had commercial success multiple times with songs like ""¿Cómo dormiste?"", ""Mi luz"" and ""Mi amor"" with singer Aitana, all of them r",https://via.placeholder.com/160,relsb
Lizzo,"Melissa Viviane Jefferson (born April 27, 1988), known professionally as Lizzo (), is an American singer and rapper. Born in Detroit, Michigan, she moved to Houston, Texas, with her family at the age of ten. After college, she moved to Minneapolis, Minnesota, where she began her recording career in hip-hop. Prior to signing with Nice Life Recording Company and Atlantic Records, Lizzo released two studio albums, Lizzobangers (2013) and Big Grrrl Small World (2015). Her first major-label extended ",https://upload.wikimedia.org/wikipedia/commons/2/2f/Glasto2023_%28181_of_468%29_%2853009327490%29_%28cropped%29.jpg,lizzo
The Weeknd,"Abel Makkonen Tesfaye (Amharic: አቤል መኮንን ተስፋዬ; born February 16, 1990), known professionally as the Weeknd, is a Canadian singer-songwriter, record producer, and actor. His accolades include four Grammy Awards, 20 Billboard Music Awards, 22 Juno Awards, six American Music Awards, three MTV Video Music Awards, a Latin Grammy Award and nominations for an Academy Award and a Primetime Emmy Award.
Tesfaye began releasing music anonymously in 2009. After co-founding the record label XO, he released t",https://upload.wikimedia.org/wikipedia/commons/9/95/The_Weeknd_Cannes_2023.png,theweeknd
Ghost,"In folklore, a ghost is the soul or spirit of a dead person or non-human animal that is believed by some people to be able to appear to the living. In ghostlore, descriptions of ghosts vary widely, from an invisible presence to translucent or barely visible wispy shapes to realistic, lifelike forms. The deliberate attempt to contact the spirit of a deceased person is known as necromancy, or in spiritism as a séance. Other terms associated with it are apparition, haunt, haint, phantom, poltergeis",https://upload.wikimedia.org/wikipedia/en/0/02/Hammersmith_Ghost.PNG,ghost
Olivia Rodrigo,"Olivia Isabel Rodrigo (born February 20, 2003) is an American singer-songwriter and actress. She began her career as a child, appearing in commercials and the direct-to-video film An American Girl: Grace Stirs Up Success (2015). She rose to prominence for her roles as a guitarist in the Disney Channel series Bizaardvark (2016–2019) and a musical theater enthusiast in the Disney+ series High School Musical: The Musical: The Series (2019–2022).
Shifting focus onto her recording career, Rodrigo sig",https://upload.wikimedia.org/wikipedia/commons/f/ff/OlivaRO2150524_%2838%29_%2853727178601%29_%28cropped%29.jpg,oliviarodrigo
Taylor Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. Known for her autobiographical songwriting, artistic versatility, and cultural impact, Swift is one of the world's best-selling artists, the highest-grossing touring artist, the richest female musician, and the first billionaire with music as the main source of income.
Swift signed to Big Machine Records in 2005, debuting as a country singer with the albums Taylor Swift (2006) and Fearless (2008). The singles ""Teardro",https://upload.wikimedia.org/wikipedia/commons/b/b1/Taylor_Swift_at_the_2023_MTV_Video_Music_Awards_%283%29.png,taylorswift
IVE,,https://via.placeholder.com/160,ive
J. Cole,"Jermaine Lamarr Cole (born January 28, 1985) is an American rapper and record producer. Born in a military base in Germany and raised in Fayetteville, North Carolina, Cole initially gained attention as a rapper following the release of his debut mixtape, The Come Up, in early 2007. Intent on further pursuing a musical career, he signed with Jay-Z's Roc Nation in 2009 and released two additional mixtapes: The Warm Up (2009) and Friday Night Lights (2010) to further critical acclaim as he garnered",https://upload.wikimedia.org/wikipedia/commons/6/69/HOTSPOTATL_-_21_Savage_%26_J.Cole_Light_Birthday_Bash_ATL_2023_On_FIRE_%28xu6HKf40MX0_-_2m38s%29_%28cropped%29.jpg,jcole
Omar Apollo,"Omar Apolonio Velasco (born May 20, 1997), known professionally as Omar Apollo, is an American singer, songwriter, and actor. After signing a record deal with Warner Records, his debut album, Ivory, was released in 2022 to positive reviews and earned him a Grammy Award nomination for Best New Artist at the 65th Annual Grammy Awards. Apollo sings in both English and Spanish.

",https://upload.wikimedia.org/wikipedia/commons/b/b2/Omar_Apollo_at_81st_Venice_International_Film_Festival.jpg,omarapollo
One Direction,"One Direction, often shortened to 1D, were an English-Irish pop boy band formed in London in 2010. The group consisted of Niall Horan, Zayn Malik (until his departure in 2015), Liam Payne, Harry Styles, and Louis Tomlinson. The group sold over 70 million records worldwide, making them one of the best-selling boy bands of all time. One Direction were regarded as one of the most popular and successful boy bands in the world before going on an indefinite hiatus in 2016.
Formed on British singing co",https://upload.wikimedia.org/wikipedia/commons/3/3a/One_Direction_Sydney_4.jpg,onedirection
Eminem,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem, is an American rapper, songwriter, and record producer. Regarded as one of the greatest and most influential rappers of all time, he is credited with popularizing hip-hop in Middle America and breaking down racial barriers for the acceptance of white rappers in popular music. While much of his transgressive work during the late 1990s and early 2000s made him a controversial figure, he came to be a representation ",https://upload.wikimedia.org/wikipedia/commons/0/0f/Eminem_2021_Color_Corrected.jpg,eminem
XXXTENTACION,,https://via.placeholder.com/160,xxxtentacion
Yung Gravy,"Matthew Raymond Hauri (born March 19, 1996), known professionally as Yung Gravy, is an American rapper.",https://upload.wikimedia.org/wikipedia/commons/7/70/Yung_Gravy_2023_%28cropped%29_3.jpg,yunggravy
Conan Gray,"Conan Lee Gray (born December 5, 1998) is an American singer-songwriter and former YouTuber. He was born in Lemon Grove, California, and raised in Georgetown, Texas where he began uploading vlogs, covers, and original songs to YouTube as a teenager. In 2018, Gray signed a record deal with Republic Records, which released his debut EP, Sunset Season (2018).
Bolstered by the commercially successful songs ""Maniac"" and ""Heather"", his studio album Kid Krow (2020) debuted at number five on the U.S. Bi",https://upload.wikimedia.org/wikipedia/commons/6/68/Conan_Gray_U_Street_Music_Hall_March_2019_1.jpg,conangray
Bruno Mars,"Peter Gene Hernandez (born October 8, 1985), known professionally as Bruno Mars, is an American singer, songwriter, musician, and record producer. Regarded as a pop icon, he is known for his three-octave tenor vocal range, live performances, retro showmanship and musical versatility. He is accompanied by his band, the Hooligans. Raised in Honolulu, Mars gained recognition in Hawaii as a child for his impersonation of Elvis Presley, before moving to Los Angeles in 2003 to pursue a musical career.",https://upload.wikimedia.org/wikipedia/commons/b/b0/BrunoMars24KMagicWorldTourLive_%28cropped%29.jpg,brunomars
Tears For Fears,,https://via.placeholder.com/160,tearsforfears
Morgan Wallen,"Morgan Cole Wallen (born May 13, 1993) is an American country pop singer from Sneedville, Tennessee. He competed in the sixth season of The Voice. After being eliminated in the playoffs, he signed to Panacea Records and released his debut extended play Stand Alone (2015). Later in 2016, Wallen signed to Big Loud to release his second extended play The Way I Talk (2016). His debut studio album If I Know Me (2018) included four singles: ""The Way I Talk"", ""Up Down"" (featuring Florida Georgia Line),",https://upload.wikimedia.org/wikipedia/commons/f/f8/Morgan_Wallen_performing_at_Bank_of_America_Stadium.png,morganwallen
Shawn Mendes,"Shawn Peter Raul Mendes ( MEN-dez, Portuguese: [ˈmẽdɨʃ]; born August 8, 1998) is a Canadian singer. He gained a following in 2013 when he posted song covers on the video-sharing platform Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the",https://upload.wikimedia.org/wikipedia/commons/a/a4/191125_Shawn_Mendes_at_the_2019_American_Music_Awards.png,shawnmendes
Avicii,"Tim Bergling (8 September 1989 – 20 April 2018), known professionally as Avicii, was a Swedish DJ, remixer, and record producer. At age 16, he began posting his remixes on electronic music forums, which led to his first record deal. He rose to prominence in 2011 with his single ""Levels"". His debut studio album, True (2013), blended electronic music with elements of multiple genres and received generally positive reviews. It peaked in the top 10 in more than 15 countries and topped international ",https://upload.wikimedia.org/wikipedia/commons/8/83/Avicii_2014_003cr.jpg,avicii
Måneskin,"Måneskin is an Italian rock  band formed in Rome in 2016.
The band is composed of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. Performing in the streets in their early days, Måneskin rose to prominence after coming in second in the eleventh season of the Italian version of X Factor in 2017. Their international breakthrough occurred when the foursome won the Eurovision Song Contest 2021 for Italy with the song ""Zitti e buoni"".
Månesk",https://upload.wikimedia.org/wikipedia/commons/9/9e/M%C3%A5neskin_-_2022154181022_2022-06-03_Rock_am_Ring_-_Sven_-_1D_X_MK_II_-_1306_-_AK8I1539.jpg,måneskin
Farruko,"Carlos Efrén Reyes Rosado (born May 2, 1991), known professionally as Farruko, is a Puerto Rican singer. He rose to fame collaborating with Daddy Yankee, J Balvin, Don Omar, and J Álvarez. He came to prominence in 2010 with his first solo album, El Talento del Bloque.

",https://upload.wikimedia.org/wikipedia/commons/e/ed/Farruko%2C_2021_-_interview_with_Tony_Dandrades.jpeg,farruko
GAYLE,,https://via.placeholder.com/160,gayle
Ed Sheeran,"Edward Christopher Sheeran ( SHEER-ən; born 17 February 1991) is an English singer-songwriter. Born in Halifax, West Yorkshire, and raised in Framlingham, Suffolk, he began writing songs around the age of eleven. In early 2011, Sheeran independently released the extended play No. 5 Collaborations Project. He signed with Asylum Records the same year.
Sheeran's debut album, + (""Plus""), was released in September 2011 and topped the UK Albums Chart. It contained his first hit single, ""The A Team"". I",https://upload.wikimedia.org/wikipedia/commons/c/c1/Ed_Sheeran-6886_%28cropped%29.jpg,edsheeran
TWICE,,https://via.placeholder.com/160,twice
Surf Curse,"Surf Curse is an American indie surf rock band formed in 2012 in Reno, Nevada, and now based in Los Angeles. The band was formed by Nick Rattigan (lead vocals and  drums) and Jacob Rubeck (guitars), and now also includes Henry Dillon and Noah Kholl. The band achieved mainstream success after their song ""Freaks"", written in 2011 and released in 2013, became popular on the short-form video platform TikTok in 2020. In 2024, their 2019 song ""Disco"" would also go viral on TikTok, topping the TikTok B",https://upload.wikimedia.org/wikipedia/commons/3/3c/Surf_Curse_in_an_interview.jpg,surfcurse
Linkin Park,"Linkin Park is an American rock band formed in Agoura Hills, California, in 1996. The band's current lineup consists of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, DJ/turntablist Joe Hahn, bassist Dave Farrell, vocalist Emily Armstrong, and drummer Colin Brittain. The lineup for the band's first seven studio albums included lead vocalist Chester Bennington and drummer Rob Bourdon until Bennington's suicide in July 2017, which caused the band to enter an indefi",https://upload.wikimedia.org/wikipedia/commons/d/d8/Linkin_Park_-_From_Zero_Lead_Press_Photo_-_James_Minchin_III.jpg,linkinpark
AC/DC,"AC/DC are an Australian rock band formed in Sydney in 1973. Their music has been variously described as hard rock, blues rock and heavy metal, although the band calls it simply ""rock and roll"". They are cited as a formative influence on the new wave of British heavy metal bands. The band was inducted into the Rock and Roll Hall of Fame in 2003 and have sold over 200 million records worldwide, making them one of the best-selling artists of all time.
AC/DC were founded by brothers Angus (lead guit",https://upload.wikimedia.org/wikipedia/commons/e/e0/AC_DC_Black_Ice_Tour_2009_Buenos_Aires_4_de_Diciembre_%284238680962%29.jpg,ac/dc
James Arthur,"James Andrew Arthur (born 2 March 1988) is an English singer and songwriter. He rose to fame after winning the ninth series of The X Factor in 2012. His debut single, a cover of Shontelle's ""Impossible"", was released by Syco Music after the final, and debuted at number one on the UK Singles Chart. Since then, it has gone on to sell over 2.5 million copies worldwide, making it the most successful winner's single in the show's history.
The follow-up single, ""You're Nobody 'til Somebody Loves You"",",https://upload.wikimedia.org/wikipedia/commons/c/cb/James_Arthur-6645_%28cropped%29.jpg,jamesarthur
Ariana Grande,"Ariana Grande-Butera (  AR-ee-AH-nə GRAHN-day byuu-TAIR-ə; born June 26, 1993) is an American singer, songwriter, and actress. Regarded as a pop icon and an influential figure in popular music, Grande is known for her four-octave vocal range, which extends into the whistle register.
Grande began her career as a teenage actress by appearing in the Broadway musical 13 (2008), and rose to fame as Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and its spin-off series Sam &",https://upload.wikimedia.org/wikipedia/commons/7/7c/Ariana_Grande_promoting_Wicked_%282024%29.jpg,arianagrande
Keane,"Keane may refer to:

Keane (band), an English band
Keane (company), an IT consulting firm based in Boston
Keane (surname), including a list of people with the name
Keane Mulready-Woods (died 2020), Irish male murder victim
The Keane Brothers, American duo, a.k.a. Keane
Miss Keane, a teacher of Pokey Oaks from The Powerpuff Girls
Keane (2004 film), a film by Lodge Kerrigan",https://via.placeholder.com/160,keane
Panic! At The Disco,,https://via.placeholder.com/160,panic!atthedisco
BTS,"BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan; lit. Bulletproof Boy Scouts), also known as the Bangtan Boys, is a South Korean boy band formed in 2010. The band consists of Jin, Suga, J-Hope, RM, Jimin, V, and Jung Kook, who co-write or co-produce much of their material. Originally a hip hop group, they expanded their musical style to incorporate a wide range of genres, while their lyrics have focused on subjects including mental health, the troubles of school-age youth and coming of age, loss, the",https://upload.wikimedia.org/wikipedia/commons/7/73/BTS_during_a_White_House_press_conference_May_31%2C_2022_%28cropped%29.jpg,bts
BLACKPINK,,https://via.placeholder.com/160,blackpink
Fujii Kaze,"Fujii Kaze (藤井 風, born June 14, 1997) is a Japanese singer-songwriter and pianist. Born and raised in Satoshō, Okayama, he began uploading piano covers of pop songs to YouTube at 12. Signed to Universal Sigma's Hehn Records, Fujii released his debut single, ""Nan-Nan"", in 2019. His first studio album, Help Ever Hurt Never (2020), reached number one on Billboard Japan's Hot Albums chart and number two on the Oricon Albums Chart and was certified gold in Japan. The song ""Shinunoga E-Wa"" became vira",https://upload.wikimedia.org/wikipedia/commons/4/49/Fujii_Kaze_performing_during_Best_Of_Fujii_Kaze_2020-2024_Asia_Tour_in_Axiata_Arena_Kuala_Lumpur_%28cropped%29.jpg,fujiikaze
Billie Eilish,"Billie Eilish Pirate Baird O'Connell ( EYE-lish; born December 18, 2001) is an American singer-songwriter and musician. She first gained public attention in 2015 with her debut single ""Ocean Eyes"", written and produced by her brother Finneas O'Connell, with whom she collaborates on music and live shows. In 2017, she released her debut extended play (EP), Don't Smile at Me. Commercially successful, it reached the top 15 of record charts in numerous countries, including the US, UK, Canada, and Aus",https://upload.wikimedia.org/wikipedia/commons/9/92/BillieEilishO2160622_%2819_of_45%29_%2852153214339%29_%28cropped_3%29.jpg,billieeilish
Frank Ocean,"Frank Ocean (born Christopher Edwin Breaux; October 28, 1987) is an American singer and songwriter. He has been credited by several music critics as a pioneer of the alternative R&B genre. Ocean has won two Grammy Awards and a Brit Award for International Male Solo Artist, among other accolades; both of his studio albums have been listed on Rolling Stone's ""500 Greatest Albums of All Time"" (2020).
Ocean began his musical career as a ghostwriter until joining the Los Angeles-based hip hop collect",https://upload.wikimedia.org/wikipedia/commons/e/e3/Frank_Ocean_2022_Blonded.jpg,frankocean
Adele,"Adele Laurie Blue Adkins (; born 5 May 1988) is an English singer-songwriter. Regarded as a British icon, she is known for her mezzo-soprano vocals and sentimental songwriting. Her accolades include 16 Grammy Awards, 12 Brit Awards (including three for British Album of the Year), an Academy Award, a Primetime Emmy Award, and a Golden Globe Award.
After graduating from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included th",https://upload.wikimedia.org/wikipedia/commons/7/7c/Adele_2016.jpg,adele
Coldplay,"Coldplay are a British rock band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer and percussionist Will Champion, and manager Phil Harvey. They are best known for their live performances, and their impact on popular culture through their music, advocacy and achievements.
The members of the band initially met at University College London, calling themselves Big Fat Noises and changing to Starfish before the final",https://upload.wikimedia.org/wikipedia/commons/2/2e/ColdplayBBC071221_%28cropped%29.jpg,coldplay
Twenty One Pilots,"Twenty One Pilots is an American musical duo from Columbus, Ohio. Initially a band, the group was formed in 2009 by lead vocalist Tyler Joseph along with Nick Thomas and Chris Salih, who both left in 2011. Since their departure, the line-up has consisted of Joseph and drummer Josh Dun. The duo is best known for their singles ""Stressed Out"", ""Ride"", and ""Heathens"", which achieved commercial success between 2015 and 2016. The duo received a Grammy Award for Best Pop Duo/Group Performance at the 59",https://upload.wikimedia.org/wikipedia/commons/e/ea/Twenty_One_Pilots_-_Southside_Festival_2022_-_IMG_6029_-_1_%28cropped%29.jpg,twentyonepilots
Eagles,,https://via.placeholder.com/160,eagles
Zion & Lennox,"Zion & Lennox was a Puerto Rican music duo from Carolina, Puerto Rico. In 2004, Zion & Lennox released their first studio album titled Motivando a la Yal under White Lion Records. After their first album, Zion & Lennox decided to start their own label, Baby Records Inc. The duo was made up of Félix Ortiz (Zion) and Gabriel Pizarro (Lennox).",https://via.placeholder.com/160,zion&lennox
The White Stripes,"The White Stripes were an American rock duo formed in Detroit, Michigan, in 1997. The group consisted of Jack White (guitar, keyboards, piano, vocals) and Meg White (drums, percussion, vocals). They were a leading group of 2000s indie rock and the decade's garage rock revival.
Beginning in the late 1990s, the White Stripes sought success within the Detroit music scene, releasing six singles and two albums. They found commercial success with their third album, White Blood Cells (2001), which rece",https://upload.wikimedia.org/wikipedia/commons/c/cb/Jack_%26_Meg%2C_The_White_Stripes.jpg,thewhitestripes
Cigarettes After Sex,"Cigarettes After Sex is an American dream pop band, formed in El Paso, Texas, in 2008 by Greg Gonzalez. The band is known for their ethereal, limerent and often dream-like musical style, lyrics often based on the themes of romance and love, as well as Gonzalez's voice, which has been described as androgynous. While marketed as an ambient pop band, Cigarettes After Sex are also considered to be shoegaze, slowcore and indie rock.
The band's debut extended play, I., was released in 2012, with the s",https://upload.wikimedia.org/wikipedia/commons/4/40/POS17_%40Kristsll-197_%2835166607974%29.jpg,cigarettesaftersex
Foo Fighters,"The Foo Fighters are an American rock band formed in Seattle in 1994. Initially founded as a one-man project by former Nirvana drummer Dave Grohl, the band comprises vocalist/guitarist Grohl, bassist Nate Mendel, guitarist Pat Smear, guitarist Chris Shiflett, and keyboardist Rami Jaffee. Guitarist Franz Stahl and drummers William Goldsmith, Taylor Hawkins, and Josh Freese are former members.
Grohl created the Foo Fighters to release solo material after Nirvana broke up in 1994, and recorded thei",https://upload.wikimedia.org/wikipedia/commons/9/9b/Glasto2023_%2865_of_468%29_%28cropped%29.jpg,foofighters
Guns N' Roses,"Guns N' Roses is an American hard rock band formed in Los Angeles, California in 1985 as a merger of local bands L.A. Guns and Hollywood Rose. When they signed to Geffen Records in 1986, the band's ""classic"" line-up consisted of vocalist Axl Rose, lead guitarist Slash, rhythm guitarist Izzy Stradlin, bassist Duff McKagan, and drummer Steven Adler. The current line-up consists of Rose, Slash, McKagan, guitarist Richard Fortus, drummer Isaac Carpenter, and keyboardists Dizzy Reed and Melissa Reese",https://upload.wikimedia.org/wikipedia/commons/a/a2/Glasto2023_Guns_%27N%27_Roses_%28sans_Dave_Grohl%29.jpg,gunsnroses
Elton John,"Sir Elton Hercules John (born Reginald Kenneth Dwight; 25 March 1947) is a British singer, songwriter and pianist. His music and showmanship have had a significant, lasting impact on the music industry, and his songwriting partnership with lyricist Bernie Taupin is one of the most successful in history. John was the 19th EGOT winner in history. He has sold over 300 million records worldwide, making him one of the best-selling music artists of all time.
John learned to play piano at an early age,",https://upload.wikimedia.org/wikipedia/commons/6/61/EltonDocBFILFF101024_%284_of_17%29_%28cropped%29.jpg,eltonjohn
Bailey Zimmerman,"Bailey Lynn Zimmerman (born January 27, 2000) is an American country singer. In 2022, he charted the singles ""Fall in Love"" and ""Rock and a Hard Place"", which both reached number one on the Billboard Country Airplay chart. His debut album Religiously. The Album. was released on May 12, 2023. This album also includes the singles ""Religiously"" and ""Where It Ends"".",https://upload.wikimedia.org/wikipedia/commons/9/90/Bailey_Zimmerman_performing_Where_It_Ends.png,baileyzimmerman
Drake,Drake may refer to:,https://via.placeholder.com/160,drake
